indiv_num,hplus,rgi,datdeb_m,datdeb,salred_lowess,sexe,age,ancentr,dep,dimanc,horaic,maisoc,pnai28,samedc,zus,nivet,empnbh,paiperc,paimerc,datdeb_q,naf10,etranger,urban,in_tepa,married
112480,,2,2006m10,30oct2006,1613.2517,1,36,156,57,3,1,3,32,3,1,52,40,4,4,2006q4,FZ,3,1,1,1
112480,,3,2007m1,29jan2007,1622.0962,1,36,168,57,3,1,3,32,3,1,52,40,4,4,2007q1,FZ,3,1,1,1
112480,,4,2007m4,30apr2007,1637.922,1,36,168,57,3,1,3,32,3,1,52,32,4,4,2007q2,FZ,3,1,1,1
112480,,6,2007m10,29oct2007,1682.5219,1,37,168,57,3,1,3,32,3,1,52,32,4,4,2007q4,FZ,3,1,1,1
112561,,2,2007m1,01jan2007,3072.6072,1,56,432,8,3,1,3,10,1,0,32,35,1,1,2007q1,BE,1,1,1,1
112561,,3,2007m4,02apr2007,3164.0291,1,56,432,8,3,1,3,10,1,0,32,45,1,1,2007q2,BE,1,1,1,1
112561,,4,2007m7,02jul2007,3252.3501,1,56,432,8,3,1,3,10,1,0,32,48,1,1,2007q3,BE,1,1,1,1
112561,,5,2007m10,01oct2007,3330.5017,1,56,432,8,3,1,3,10,1,0,32,30,1,1,2007q4,BE,1,1,1,1
112567,,1,2006m10,02oct2006,1964.4696,1,53,408,8,3,1,3,10,2,0,42,50,5,1,2006q4,BE,1,1,1,1
112567,,2,2007m1,01jan2007,1969.4895,1,54,420,8,3,1,3,10,2,0,42,30,5,1,2007q1,BE,1,1,1,1
112567,,3,2007m4,02apr2007,1977.127,1,54,420,8,3,1,3,10,2,0,42,50,5,1,2007q2,BE,1,1,1,1
112567,,4,2007m7,02jul2007,1995.0577,1,54,420,8,3,1,3,10,2,0,42,50,5,1,2007q3,BE,1,1,1,1
112567,,5,2007m10,01oct2007,2019.0006,1,54,420,8,3,1,3,10,2,0,42,50,5,1,2007q4,BE,1,1,1,1
112567,,6,2007m12,31dec2007,2215.0649,1,55,432,8,3,1,3,10,2,0,42,24,5,1,2008q1,BE,1,1,1,1
112685,50,1,2007m6,25jun2007,1422.2714,1,23,42,76,3,3,2,10,3,0,32,50,1,1,2007q2,GI,1,1,1,1
112685,,2,2007m9,24sep2007,1566.2861,1,23,1,76,3,1,3,10,2,0,32,45,1,1,2007q3,GI,1,1,1,1
112685,,4,2008m3,24mar2008,,1,23,7,76,3,1,3,10,2,0,32,40,1,1,2008q1,GI,1,1,1,1
112685,,5,2008m6,23jun2008,1259.8882,1,24,10,76,3,1,3,10,2,0,32,38,1,1,2008q2,GI,1,1,1,1
112685,,6,2008m9,22sep2008,1478.8599,1,24,13,76,3,1,3,10,2,0,32,40,1,1,2008q3,GI,1,1,1,1
112687,,1,2007m6,25jun2007,1321.9954,0,23,35,76,2,3,3,10,1,0,32,35,1,1,2007q2,GI,1,1,1,0
112687,39,2,2007m9,24sep2007,1352.2039,0,23,37,76,2,3,3,10,1,0,32,35,1,1,2007q3,GI,1,1,1,0
112687,,3,2007m12,24dec2007,1382.6652,0,23,40,76,2,3,3,10,1,0,32,27,1,1,2007q4,GI,1,1,1,0
